url,title,h1,category,new_hub,new_hub_label,intent,primary_keyword,official_source,verified_at,action,merge_target,priority,owner,status,section,slug,page_type,department,audience,description,tel,official_source_count,canonical,has_faq_jsonld,has_breadcrumb_jsonld,exposes_raw_keys,bytes
/about/author/,執筆者について｜大石浩之（宅地建物取引士） | 静岡県森町ライフハック,執筆者について,about,,,運営者と編集方針を確認する,森町ライフハック 運営者,,2026-08-04,keep,,P1,大石浩之,作業中,about,author,detail,,,森町ライフハックの記事を書いている大石浩之（宅地建物取引士）のプロフィールです。富士ヶ丘サービス株式会社（静岡県磐田市見付）の宅建業免許・資格・対応範囲を明記しています。,0538-31-3308,0,https://morimachi.enshu-lifehack.com/about/author/,False,True,False,11546
/about/related-sites/,関連サイト一覧 | 静岡県森町ライフハック,関連サイト一覧,about,,,運営者と編集方針を確認する,森町ライフハック 運営者,,2026-08-05,keep,,P1,大石浩之,作業中,about,related-sites,detail,,,静岡県周智郡森町の森町ライフハックと、同じ運営者による関連サイトの一覧です。森町の相談窓口、遠州ライフハックの各市町版、個人制作のサイトに分けて掲載しています。,,0,https://morimachi.enshu-lifehack.com/about/related-sites/,False,True,False,9188
/agriculture/corn/,静岡県森町のとうもろこし栽培と甘々娘の基礎知識 | 森町ライフハック,森町のとうもろこし栽培と甘々娘の基礎知識,agriculture,,,,,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/norinseisakuka/noseigakari/index.html,2026-08-09,keep,,P3,大石浩之,作業中,agriculture,corn,detail,,,静岡県森町のとうもろこしを、品種名と産地名を混同せず、栽培、旬、保存、食べ方を一つの順序で理解するための実用ガイド。公式資料、現地確認、注意点、FAQ、次に読むページを整理しました。,,2,https://morimachi.enshu-lifehack.com/agriculture/corn/,True,True,False,29332
/agriculture/farm-road-property-check/,静岡県森町の農道を不動産調査で確認する｜公道との違い | 森町ライフハック,森町の農道を不動産調査で確認する｜公道との違い,agriculture,,,,,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/norinseisakuka/nochikanrikakari/index.html,,keep,,P3,大石浩之,作業中,agriculture,farm-road-property-check,detail,,,静岡県周智郡森町の農道を不動産調査で確認する。対象条件、必要資料、森町の公式窓口、確認する順番を分かりやすく整理します。実行前の注意点と家族へ残す記録も案内します。,,2,https://morimachi.enshu-lifehack.com/agriculture/farm-road-property-check/,True,True,False,37472
/agriculture/farmland-family/,静岡県森町の農地を持つ家族の確認ガイド | 森町ライフハック,森町の農地を持つ家族の確認ガイド,agriculture,,,,,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/norinseisakuka/noseigakari/index.html,2026-08-09,keep,,P3,大石浩之,作業中,agriculture,farmland-family,detail,,,静岡県森町の農地を、耕作、貸借、相続、遊休化の前に、地番、権利、利用状況、相談先をそろえるための実用ガイド。公式資料、現地確認、注意点、FAQ、次に読むページを整理しました。,,2,https://morimachi.enshu-lifehack.com/agriculture/farmland-family/,True,True,False,29297
/agriculture/farmland-lease-check/,静岡県森町で農地を貸し借りする前の確認｜耕作目的と手続き | 森町ライフハック,森町で農地を貸し借りする前の確認｜耕作目的と手続き,agriculture,,,,,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/norinseisakuka/nochikanrikakari/index.html,,keep,,P3,大石浩之,作業中,agriculture,farmland-lease-check,detail,,,静岡県周智郡森町で農地を貸し借りする前の確認。対象条件、必要資料、森町の公式窓口、確認する順番を分かりやすく整理します。実行前の注意点と家族へ残す記録も案内します。,,2,https://morimachi.enshu-lifehack.com/agriculture/farmland-lease-check/,True,True,False,36889
/agriculture/farmland-ledger-map/,静岡県森町の農地台帳と地図を確認する｜所有地整理の入口 | 森町ライフハック,森町の農地台帳と地図を確認する｜所有地整理の入口,agriculture,,,,,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/norinseisakuka/nochikanrikakari/index.html,,keep,,P3,大石浩之,作業中,agriculture,farmland-ledger-map,detail,,,静岡県周智郡森町の農地台帳と地図を確認する。対象条件、必要資料、森町の公式窓口、確認する順番を分かりやすく整理します。実行前の注意点と家族へ残す記録も案内します。,,2,https://morimachi.enshu-lifehack.com/agriculture/farmland-ledger-map/,True,True,False,36811
/agriculture/forest-boundary-check/,静岡県森町の山林境界を家族で確認する｜地番・図面・現地 | 森町ライフハック,森町の山林境界を家族で確認する｜地番・図面・現地,agriculture,,,,,https://www.town.morimachi.shizuoka.jp/gyosei/sangyo_shigoto/noringyo/index.html,,keep,,P3,大石浩之,作業中,agriculture,forest-boundary-check,detail,,,静岡県周智郡森町の山林境界を家族で確認する。対象条件、必要資料、森町の公式窓口、確認する順番を分かりやすく整理します。実行前の注意点と家族へ残す記録も案内します。,,2,https://morimachi.enshu-lifehack.com/agriculture/forest-boundary-check/,True,True,False,37044
/agriculture/forest-management-consultation/,静岡県森町の森林整備相談｜所有者が準備する情報 | 森町ライフハック,森町の森林整備相談｜所有者が準備する情報,agriculture,,,,,https://www.town.morimachi.shizuoka.jp/material/files/group/8/01_R7_morimachishinrinseibikeikaku.pdf,,keep,,P3,大石浩之,作業中,agriculture,forest-management-consultation,detail,,,静岡県周智郡森町の森林整備相談。対象条件、必要資料、森町の公式窓口、確認する順番を分かりやすく整理します。実行前の注意点と家族へ残す記録も案内します。,,3,https://morimachi.enshu-lifehack.com/agriculture/forest-management-consultation/,True,True,False,30615
/agriculture/forest-owner-notification/,静岡県森町の森林所有者届出｜相続・売買後の確認 | 森町ライフハック,森町の森林所有者届出｜相続・売買後の確認,agriculture,,,,,https://www.town.morimachi.shizuoka.jp/gyosei/sangyo_shigoto/noringyo/1307.html,,keep,,P3,大石浩之,作業中,agriculture,forest-owner-notification,detail,,,静岡県周智郡森町の森林所有者届出。対象条件、必要資料、森町の公式窓口、確認する順番を分かりやすく整理します。実行前の注意点と家族へ残す記録も案内します。,,2,https://morimachi.enshu-lifehack.com/agriculture/forest-owner-notification/,True,True,False,35069
