existing_url,current_title,current_h1,primary_intent,target_query,indexable,canonical,incoming_links,outgoing_links,action,http_status,description_length,official_source_count,verified_date,candidate_numbers,candidate_queries
/life/education/,🎒 学ぶ・育つ | 静岡県森町ライフハック,🎒 学ぶ・育つ,学校・学区・教育相談の情報を一覧で把握する,森町 学校,True,https://morimachi.enshu-lifehack.com/life/education/,20,13,KEEP,200,98,1,2026-07-04,,
/life/education/after-school-club/,静岡県森町の放課後児童クラブは、対象学年と申請時期（例年9月）を先に確認する | 森町ライフハック,森町の放課後児童クラブは、対象学年と申請時期（例年9月）を先に確認する,放課後児童クラブの対象と申込時期を確認する,森町 放課後児童クラブ 学童,True,https://morimachi.enshu-lifehack.com/life/education/after-school-club/,21,14,UPDATE,200,131,3,2026-07-04,154,森町 学童保育
/life/education/educational-consulting/,静岡県森町の教育相談は、教育支援センター「わかば」と学校教育課へ困りごとを一文で整理してから相談する,森町の教育相談は、教育支援センター「わかば」と学校教育課へ困りごとを一文で整理してから相談する,学校に行きづらい・就学の不安を相談する,森町 教育相談 不登校,True,https://morimachi.enshu-lifehack.com/life/education/educational-consulting/,21,14,UPDATE,200,103,2,2026-07-04,,
/life/education/elementary-middle-school/,静岡県森町の小中学校は5校（小学校3校・中学校2校）、学校一覧と手続きを分けて見る | 森町ライフハック,森町の小中学校は5校（小学校3校・中学校2校）、学校一覧と手続きを分けて見る,森町の小中学校の一覧と連絡先を知る,森町 小中学校 一覧,True,https://morimachi.enshu-lifehack.com/life/education/elementary-middle-school/,22,13,KEEP,200,97,2,2026-07-03,,
/life/education/school-district-transfer/,転校は、住所異動の届出と通学中の学校での手続きをまとめて確認する | 静岡県森町ライフハック,転校は、住所異動の届出と通学中の学校での手続きをまとめて確認する,転校の手続きを進める,森町 転校 手続き,True,https://morimachi.enshu-lifehack.com/life/education/school-district-transfer/,23,14,KEEP,200,94,2,2026-07-04,152,森町 転校 手続き
/life/education/school-expense-support/,学校費用の不安は、就学援助制度と学校教育課への相談を先に確認する | 静岡県森町ライフハック,学校費用の不安は、就学援助制度と学校教育課への相談を先に確認する,学校費用の負担を軽くする制度を使う,森町 就学援助,True,https://morimachi.enshu-lifehack.com/life/education/school-expense-support/,23,14,KEEP,200,102,1,2026-07-03,153,森町 就学援助
/life/education/school-meals/,学校給食は、献立・費用・アレルギー対応を学校教育課に分けて確認する | 静岡県森町ライフハック,学校給食は、献立・費用・アレルギー対応を学校教育課に分けて確認する,学校給食の献立・費用・アレルギー対応を確認する,森町 学校給食,True,https://morimachi.enshu-lifehack.com/life/education/school-meals/,6,14,KEEP,200,107,1,2026-07-04,,
/life/education/school-zones/,静岡県森町の小学校・中学校の学区｜住所から通学区域を確認 | 森町ライフハック,森町の小学校・中学校の学区｜住所から通学区域を確認,住所からどの小中学校に通うか確かめる,森町 学区,True,https://morimachi.enshu-lifehack.com/life/education/school-zones/,55,22,UPDATE,200,62,2,2026-08-06,150 / 151,森町 小学校 学区 / 森町 中学校 学区
/life/education/study-facilities/,学習場所は、静岡県森町立図書館の閲覧コーナーと開館日を先に確認する | 森町ライフハック,学習場所は、森町立図書館の閲覧コーナーと開館日を先に確認する,子どもが勉強できる場所を探す,森町 図書館 学習室,True,https://morimachi.enshu-lifehack.com/life/education/study-facilities/,6,14,KEEP,200,115,3,2026-07-04,,
/life/emergency/,⚠️ もしもの時 | 静岡県森町ライフハック,⚠️ もしもの時,防災・災害時の行動と窓口を一覧で把握する,森町 防災,True,https://morimachi.enshu-lifehack.com/life/emergency/,21,16,KEEP,200,90,1,2026-07-04,,
/life/emergency/disaster-certificates-procedures/,災害にあった後、何から動くか。静岡県森町でり災証明書と税の減免手続きを順番に整理する。 | 森町ライフハック,災害にあった後、何から動くか。森町でり災証明書と税の減免手続きを順番に整理する。,り災証明書と税の減免を申請する,森町 り災証明書,True,https://morimachi.enshu-lifehack.com/life/emergency/disaster-certificates-procedures/,22,15,KEEP,200,114,1,2026-07-04,,
