url,title,h1,category,new_hub,new_hub_label,intent,primary_keyword,official_source,verified_at,action,merge_target,priority,owner,status,section,slug,page_type,department,audience,description,tel,official_source_count,canonical,has_faq_jsonld,has_breadcrumb_jsonld,exposes_raw_keys,bytes
/about/author/,執筆者について｜大石浩之（宅地建物取引士） | 森町ライフハック,執筆者について,about,,,運営者と編集方針を確認する,森町ライフハック 運営者,,2026-08-04,keep,,P1,大石浩之,作業中,about,author,detail,,,森町ライフハックの記事を書いている大石浩之（宅地建物取引士）のプロフィールです。富士ヶ丘サービス株式会社（静岡県磐田市見付）の宅建業免許・資格・対応範囲を明記しています。,0538-31-3308,0,https://morimachi.enshu-lifehack.com/about/author/,False,False,False,18735
/blog/20260804-gomi-bunbetsu-kaitei/,森町のごみ分別ルール、いま実際どうなっているのか | 森町ライフハック,森町のごみ分別ルール、いま実際どうなっているのか,blog,,,森町の暮らしの読み物を読む,森町 ブログ,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/juminseikatsuka/seikatsukankyokakari/1/1/692.html,2026-08-04,keep,,P3,大石浩之,作業中,blog,20260804-gomi-bunbetsu-kaitei,detail,,,森町では令和8年4月1日からのごみ分別ルール変更にともなう分別ガイドブックの改訂作業が進められています。町公式ページの記載を確認したうえで、いま手元の分別表をどう扱えばよいかを整理しました。,,5,https://morimachi.enshu-lifehack.com/blog/20260804-gomi-bunbetsu-kaitei/,False,False,False,22013
/blog/,ブログ | 森町ライフハック,📝 ブログ,blog,,,森町の暮らしの読み物を読む,森町 ブログ,,,keep,,P3,大石浩之,作業中,blog,index,hub,,,静岡県周智郡森町（遠州森町）の暮らし・手続き・空き家・寺社について、公表情報を確認しながら書いています。,,0,https://morimachi.enshu-lifehack.com/blog/,False,False,False,14549
/checklist/baby/,子どもが生まれた | チェックリスト | 森町ライフハック,👶 子どもが生まれた,checklist,procedures,手続きしたい,状況別のやることを順番に確認する,森町 やることリスト,,,keep,,P1,大石浩之,作業中,checklist,baby,detail,,,出生届から児童手当、乳幼児健診、予防接種、保育園まで。届出の期限があるものから順に確認できます。,,0,https://morimachi.enshu-lifehack.com/checklist/baby/,False,False,False,19426
/checklist/job-change/,転職した・退職した | チェックリスト | 森町ライフハック,💴 転職した・退職した,checklist,procedures,手続きしたい,状況別のやることを順番に確認する,森町 やることリスト,,,keep,,P1,大石浩之,作業中,checklist,job-change,detail,,,退職後は健康保険・年金・住民税の手続きが同時に発生します。放置すると未納になるものから順に確認できます。,,0,https://morimachi.enshu-lifehack.com/checklist/job-change/,False,False,False,19000
/checklist/married/,結婚した | チェックリスト | 森町ライフハック,💍 結婚した,checklist,procedures,手続きしたい,状況別のやることを順番に確認する,森町 やることリスト,,,keep,,P1,大石浩之,作業中,checklist,married,detail,,,婚姻届のあとに続く、住所・氏名・保険・税の手続きをまとめました。森町では結婚新生活支援補助金の対象になる場合もあります。,,0,https://morimachi.enshu-lifehack.com/checklist/married/,False,False,False,19385
/checklist/moved-in/,森町に引っ越してきた | チェックリスト | 森町ライフハック,🏡 森町に引っ越してきた,checklist,procedures,手続きしたい,状況別のやることを順番に確認する,森町 やることリスト,,,keep,,P1,大石浩之,作業中,checklist,moved-in,detail,,,転入届からマイナンバー、水道、ごみ、通学区域まで。静岡県周智郡森町に引っ越してきたあとにやることを、順番にチェックできます。,,0,https://morimachi.enshu-lifehack.com/checklist/moved-in/,False,False,False,20317
/,森町ライフハック｜森町の手続き・相談先・防災・介護・住まい,森町の手続きや相談先を、暮らしの場面から探す,top,,,困りごとから森町の窓口を探す,森町 手続き,https://www.town.morimachi.shizuoka.jp/,,rewrite,,P0,大石浩之,作業中,top,index,hub,,,森町の手続き、相談先、防災、子育て、介護、住まいを目的別に整理する非公式ナビです。詳細・最新情報は公式ページで確認してください。森町公式サイトではない案内ページです。詳細・申請・最新情報は必ず公式ページで確認してください。,,1,,False,False,False,37304
/life/education/after-school-club/,森町の放課後児童クラブは、対象学年と申請時期（例年9月）を先に確認する | 森町ライフハック,森町の放課後児童クラブは、対象学年と申請時期（例年9月）を先に確認する,education,family,子ども・家族,放課後児童クラブの対象と申込時期を確認する,森町 放課後児童クラブ 学童,https://www.town.morimachi.shizuoka.jp/gyosei/kosodate_kyoiku/houkagozidou/index.html,2026-07-03,keep,,P1,大石浩之,作業中,life,after-school-club,detail,健康こども課,保護者,森町の放課後児童クラブは、就労や介護などで放課後に保護者が家庭にいない児童のための居場所です。令和8年度は9月16日から10月17日までが利用申込みの受付期間で、令和8年4月からは利用料も変わります。,0538-86-6300,3,https://morimachi.enshu-lifehack.com/life/education/after-school-club/,True,False,True,31213
/life/education/educational-consulting/,森町の教育相談は、教育支援センター「わかば」と学校教育課へ困りごとを一文で整理してから相談する | 森町ライフハック,森町の教育相談は、教育支援センター「わかば」と学校教育課へ困りごとを一文で整理してから相談する,education,family,子ども・家族,学校に行きづらい・就学の不安を相談する,森町 教育相談 不登校,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/gakkokyoikuka/index.html,2026-07-03,rewrite,,P1,大石浩之,作業中,life,educational-consulting,parent,学校教育課 / 教育支援センター,保護者 / 児童生徒,学校への登校が難しいときの相談先は、森町学校教育課と教育支援センター「わかば」です。困りごとを一文で整理してから電話をすると、話が早く進みます。わかばは通級のペースを個々に合わせられる場所です。,0538-85-1112 / 080-4339-5794,2,https://morimachi.enshu-lifehack.com/life/education/educational-consulting/,True,False,True,30788
/life/education/elementary-middle-school/,森町の小中学校は5校（小学校3校・中学校2校）、学校一覧と手続きを分けて見る | 森町ライフハック,森町の小中学校は5校（小学校3校・中学校2校）、学校一覧と手続きを分けて見る,education,family,子ども・家族,森町の小中学校の一覧と連絡先を知る,森町 小中学校 一覧,https://www.town.morimachi.shizuoka.jp/morikko/sodachi/4787.html,2026-07-03,keep,,P2,大石浩之,作業中,life,elementary-middle-school,detail,学校教育課,保護者,森町内の小中学校は、小学校3校・中学校2校の合わせて5校とコンパクトです。まず学校の一覧で名称・住所・電話番号を確認し、通学区域など個別の手続きは学校教育課へまとめて確認しましょう。,0538-85-1112 / 0538-85-2111,2,https://morimachi.enshu-lifehack.com/life/education/elementary-middle-school/,True,False,True,29838
/life/education/,🎒 学ぶ・育つ | 森町ライフハック,🎒 学ぶ・育つ,education,family,子ども・家族,学校・学区・教育相談の情報を一覧で把握する,森町 学校,https://www.town.morimachi.shizuoka.jp/,2026-07-04,keep,,P2,大石浩之,作業中,life,index,hub,,保護者,森町の子どもの教育・学校に関する手続きを、学校選び・通学区域・転校・就学の不安・費用の相談・放課後の居場所に分けてまとめています。まずはお子さんの状況に近いテーマから確認してください。,0538-85-2111,1,https://morimachi.enshu-lifehack.com/life/education/,True,False,True,28146
/life/education/school-attendance-support/,就学の不安は、教育委員会と学校への相談・手続きを分けて確認する | 森町ライフハック,就学の不安は、教育委員会と学校への相談・手続きを分けて確認する,education,family,子ども・家族,就学の不安を相談する,森町 就学相談,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/gakkokyoikuka/index.html,2026-07-03,merge,/life/education/educational-consulting/,P1,大石浩之,作業中,life,school-attendance-support,detail,学校教育課,保護者,就学に関する不安は、学校教育課への相談と学校への相談を分けて考えると整理しやすくなります。就学時健康診断など個別の案内ページは見つかっていませんが、まずは学校教育課へ困りごとを伝えることから始められます。,0538-85-1112 / 080-4339-5794,2,https://morimachi.enshu-lifehack.com/life/education/school-attendance-support/,True,False,True,29643
/life/education/school-district-transfer/,転校は、住所異動の届出と通学中の学校での手続きをまとめて確認する | 森町ライフハック,転校は、住所異動の届出と通学中の学校での手続きをまとめて確認する,education,family,子ども・家族,転校の手続きを進める,森町 転校 手続き,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/juminseikatsuka/juminkakari/2/3/2902.html,2026-07-03,keep,,P1,大石浩之,作業中,life,school-district-transfer,detail,住民生活課 / 学校教育課,保護者,森町内外への転校では、住所異動の届出（住民生活課）と、通学中の学校での転校手続きの両方が必要です。どちらか一方だけでは手続きが完了しないため、順番と窓口を分けて確認しましょう。,0538-85-2111,2,https://morimachi.enshu-lifehack.com/life/education/school-district-transfer/,True,False,True,30117
