number,priority,group,target_query,intent_phrase,proposed_url,action,final_url,matched_url,matched_title,matched_kind,match_score,score_margin,confidence,decision_reason,second_url,second_score
1,P0,空き家・実家じまい,森町 空き家 相続,空き家 相続,/akiya/guide-01/,MERGE,/life/end-of-life/inherited-house/,/life/end-of-life/inherited-house/,静岡県森町の親の家をどうするか｜使う・貸す・売る・解体の決め方 | 森町ライフハック,life,134.75,0.0,high,既存URLの主要意図・本文を手動確認し「空き家」へ統合,/life/housing/vacant-house/,134.75
2,P0,空き家・実家じまい,森町 実家 相続,実家 相続,/akiya/guide-02/,MERGE,/life/end-of-life/inherited-house/,/life/end-of-life/inherited-house/,静岡県森町の親の家をどうするか｜使う・貸す・売る・解体の決め方 | 森町ライフハック,life,122.67,0.0,high,既存URLの主要意図・本文を手動確認し「実家」へ統合,/life/end-of-life/inheritance/,122.67
3,P0,空き家・実家じまい,森町 空き家 売却,空き家 売却,/akiya/guide-03/,UPDATE,/life/housing/sell-house/,/life/housing/sell-house/,静岡県森町で家を売る前に、固定資産税・空き家バンクを確認する | 森町ライフハック,life,276.0,141.25,high,既存URLの主要意図・本文を手動確認し「空き家売却」へ統合。不足: description(77字),/life/end-of-life/inherited-house/,134.75
4,P0,空き家・実家じまい,森町 実家 売却,実家 売却,/akiya/guide-04/,MERGE,/life/housing/sell-house/,/life/housing/sell-house/,静岡県森町で家を売る前に、固定資産税・空き家バンクを確認する | 森町ライフハック,life,151.89,8.0,high,既存URLの主要意図・本文を手動確認し「森町 家 売却」へ統合。不足: description(77字),/questions/housing-sell-house/,143.89
5,P0,空き家・実家じまい,森町 空き家バンク,空き家バンク,/akiya/guide-05/,MERGE,/life/housing/vacant-house/,/life/housing/vacant-house/,静岡県森町の空き家バンク｜物件・補助金・相談先を確認 | 森町ライフハック,life,150.73,8.0,high,既存URLの主要意図・本文を手動確認し「空き家バンクを使いたい」へ統合。不足: description(80字),/questions/housing-vacant-house/,142.73
6,P0,空き家・実家じまい,森町 空き家 補助金,空き家 補助金,/akiya/guide-06/,MERGE,/life/end-of-life/inherited-house/,/life/end-of-life/inherited-house/,静岡県森町の親の家をどうするか｜使う・貸す・売る・解体の決め方 | 森町ライフハック,life,122.67,0.0,high,既存URLの主要意図・本文を手動確認し「空き家」へ統合,/life/housing/vacant-house/,122.67
7,P0,空き家・実家じまい,森町 空き家 解体,空き家 解体,/akiya/guide-07/,MERGE,/life/housing/earthquake-demolition/,/life/housing/earthquake-demolition/,静岡県森町の耐震・解体は、木造住宅の耐震診断・改修・解体助成を確認する。 | 森町ライフハック,life,109.93,0.0,high,既存URLの主要意図・本文を手動確認し「解体」へ統合。不足: description(89字),/life/housing/vacant-house/,134.75
8,P0,空き家・実家じまい,森町 空き家 管理,空き家 管理,/akiya/guide-08/,MERGE,/life/housing/vacant-house/,/life/housing/vacant-house/,静岡県森町の空き家バンク｜物件・補助金・相談先を確認 | 森町ライフハック,life,134.75,0.0,high,既存URLの主要意図・本文を手動確認し「森町 空き家」へ統合。不足: description(80字),/life/housing/vacant-house/,134.75
9,P0,空き家・実家じまい,森町 空き家 固定資産税,空き家 固定資産税,/akiya/guide-09/,MERGE,/life/end-of-life/property-tax-inheritance/,/life/end-of-life/property-tax-inheritance/,固定資産税の相続は、静岡県森町税務課への相続人代表者指定届を先に確認する | 森町ライフハック,life,85.17,8.0,high,既存URLの主要意図・本文を手動確認し「固定資産税相続」へ統合,/questions/housing-property-tax/,129.68
10,P0,空き家・実家じまい,森町 実家じまい,実家じまい,/akiya/guide-10/,CREATE,/life/housing/close-parents-house/,/temple/guide/,法要・帰省・実家じまいのガイド | 静岡県森町ライフハック,page,88.73,1.3,high,既存129ページと質問ページに同一の主要検索意図がないため、既存URL体系内に新設,/life/end-of-life/inherited-house/,87.43
