id,url,title,category,hub,risk_level,review_status,content_owner,last_verified_at,municipality_page_checked_at,national_system_checked_at,phone_verified_at,next_review_at,review_overdue,source_count,source_urls,notes
mori-life-education-after-school-club,/life/education/after-school-club/,森町の放課後児童クラブは、対象学年と申請時期（例年9月）を先に確認する,学ぶ・育つ,family,B,verified,大石浩之,2026-07-03,2026-07-03,,,2027-01-03,いいえ,3,https://www.town.morimachi.shizuoka.jp/gyosei/kosodate_kyoiku/houkagozidou/index.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/kenkokodomoka/yochienhoikuenkakari/2/6230.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/kenkokodomoka/yochienhoikuenkakari/2/6616.html,
mori-life-education-educational-consulting,/life/education/educational-consulting/,森町の教育相談は、教育支援センター「わかば」と学校教育課へ困りごとを一文で整理してから相談する,学ぶ・育つ,family,B,verified,大石浩之,2026-07-03,2026-07-03,,,2027-01-03,いいえ,2,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/gakkokyoikuka/gakkokyoikukakari/5312.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/gakkokyoikuka/index.html,
mori-life-education-elementary-middle-school,/life/education/elementary-middle-school/,森町の小中学校は5校（小学校3校・中学校2校）、学校一覧と手続きを分けて見る,学ぶ・育つ,family,B,verified,大石浩之,2026-07-03,2026-07-03,,,2027-01-03,いいえ,2,https://www.town.morimachi.shizuoka.jp/morikko/sodachi/4787.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/gakkokyoikuka/index.html,
mori-life-education,/life/education/,🎒 学ぶ・育つ,学ぶ・育つ,family,B,verified,大石浩之,2026-07-04,2026-07-04,,,2027-01-04,いいえ,1,https://www.town.morimachi.shizuoka.jp/,
mori-life-education-school-district-transfer,/life/education/school-district-transfer/,転校は、住所異動の届出と通学中の学校での手続きをまとめて確認する,学ぶ・育つ,family,B,verified,大石浩之,2026-07-03,2026-07-03,,,2027-01-03,いいえ,2,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/juminseikatsuka/juminkakari/2/3/2902.html / https://www.town.morimachi.shizuoka.jp/gyosei/kosodate_kyoiku/kyoiku_gakko/sho_chugakko/index.html,
mori-life-education-school-expense-support,/life/education/school-expense-support/,学校費用の不安は、就学援助制度と学校教育課への相談を先に確認する,学ぶ・育つ,family,B,verified,大石浩之,2026-07-03,2026-07-03,,,2027-01-03,いいえ,1,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/gakkokyoikuka/index.html,
mori-life-education-school-meals,/life/education/school-meals/,学校給食は、献立・費用・アレルギー対応を学校教育課に分けて確認する,学ぶ・育つ,family,B,verified,大石浩之,2026-07-04,2026-07-04,,,2027-01-04,いいえ,1,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/gakkokyoikuka/index.html,
mori-life-education-school-zones,/life/education/school-zones/,森町の小学校・中学校の学区｜住所から通学区域を確認,学ぶ・育つ,family,B,verified,大石浩之,2026-08-06,2026-08-06,,,2027-02-06,いいえ,2,https://www.town.morimachi.shizuoka.jp/gyosei/kosodate_kyoiku/kyoiku_gakko/sho_chugakko/index.html / https://www.town.morimachi.shizuoka.jp/morikko/sodachi/4787.html,
mori-life-education-study-facilities,/life/education/study-facilities/,学習場所は、森町立図書館の閲覧コーナーと開館日を先に確認する,学ぶ・育つ,enjoy,B,verified,大石浩之,2026-07-04,2026-07-04,,,2027-01-04,いいえ,3,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/toshokan/916.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/bunkakaikan/bunka/909.html / https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/bunkakaikan/bunka/904.html,
mori-life-emergency-disaster-certificates-procedures,/life/emergency/disaster-certificates-procedures/,災害にあった後、何から動くか。森町でり災証明書と税の減免手続きを順番に整理する。,もしもの時,trouble,A,verified,大石浩之,2026-07-03,2026-07-03,,,2026-10-03,いいえ,1,https://www.town.morimachi.shizuoka.jp/gyosei/machinososhiki/zeimuka/chominzeigakari/1/1/4711.html,
