id,phase,priority_20,cluster,primary_keyword,proposed_url,decision,final_url,decision_reason,unique_angle,source_notes,cta_level,status
1,phase1,True,guide,森町 静岡 観光,/guide/morimachi-complete-guide/,CREATE,/guide/morimachi-complete-guide/,トップ・六地区ブログは生活中心で観光の総合回答ではない,初訪問者向けに地区、季節、移動、滞在時間を一枚で選べる入口,町・観光協会、施設公式、現地導線写真,L1,ready
2,phase1,True,guide,森町 アクセス,/guide/access/,CREATE,/guide/access/,/life/play-out/parking-access/ と公共交通記事は町内移動が中心,町外から車・天浜線・バスで到着する比較と最終区間,町公共交通、天浜線、道路管理者、現地乗換確認,L1,ready
3,phase3,False,guide,森町 観光 モデルコース,/guide/one-day-course/,CREATE,/guide/one-day-course/,既存に観光行程なし。No.4とは時間違いだけで競合,営業時間に依存しない複数の1日行程と雨天代替,施設営業日、交通時刻、実走・実歩時間,L0,ready
4,phase3,False,guide,森町 半日 観光,/guide/half-day-course/,MERGE,/guide/one-day-course/,No.3の3時間・5時間章で疑問が完結,短時間用の離脱点、駐車回数、歩行量比較,No.3と同じ＋現地所要時間,L0,ready
5,phase3,False,guide,森町 電車 観光,/guide/train-trip/,CREATE,/guide/train-trip/,/life/start-living/public-transit/ は生活交通,各駅から徒歩可能な範囲、帰りの列車を逃さない行程,天浜線公式時刻・駅設備、現地徒歩確認,L1,ready
6,phase3,False,guide,森町 ドライブ,/guide/drive-course/,MERGE,/guide/access/,No.2の車章、No.3の行程と大半が重なる,狭路・右左折・休憩・給油を含む運転者向け注意,道路情報、駐車場管理者、実走,L1,ready
7,phase3,False,guide,森町 雨の日,/guide/rainy-day/,HOLD,/guide/rainy-day/,文化施設・アクティ森候補と重複し、営業情報が変動,雨量別の屋内代替と濡れる移動区間,施設公式、当日運営、現地屋根・床・駐車確認,L0,blocked_on_fieldwork
8,phase3,False,guide,森町 子連れ 観光,/guide/family-trip/,CREATE,/guide/family-trip/,公園記事は生活者向け、観光行程は未整備,年齢、昼寝、授乳、トイレ、暑熱を含む行程,施設設備・利用条件、現地バリア確認,L1,ready
9,phase3,False,guide,森町 一人旅,/guide/solo-trip/,MERGE,/guide/one-day-course/,"一人という属性だけでは独立6,000字になりにくい",静かな時間帯・公共交通・安全をNo.3の派生行程にする,交通、施設、現地歩行確認,L0,ready
10,phase3,False,guide,森町 高齢者 観光,/guide/senior-friendly-trip/,CREATE,/guide/senior-friendly-trip/,高齢者交通助成は住民制度で、来訪者の段差情報ではない,歩行距離、段差、座席、トイレを数値で比較,施設管理者、現地実測、介助設備確認,L2,ready
11,phase1,True,guide,森町 小國神社,/guide/okuni-jinja/,EXPAND_EXISTING,/shrine/shrines/s4410001/,個別神社DBと舞楽ブログが既にある,由緒の出典階層、境内の見方、参拝マナー、周辺への分岐を一体化,神社公式、文化財資料、現地掲示・撮影許可,L0,ready
12,phase1,True,guide,小國神社 駐車場,/guide/okuni-jinja-parking/,HOLD,/guide/okuni-jinja-parking/,No.2・6と重なるが、混雑時の検索意図は独立,通常日と繁忙日の入口、誘導、歩行距離を現況図で示す,神社・警察等の当期案内、現地計測、臨時規制,L0,blocked_on_fieldwork
13,phase3,False,guide,小國神社 御朱印,/guide/okuni-jinja-goshuin/,MERGE,/shrine/shrines/s4410001/,授与情報だけで独立長文にするとNo.11を反復,参拝順序・受付確認方法としてNo.11内で完結,神社公式・授与所掲示,L0,ready
14,phase3,False,guide,小國神社 ご利益,/guide/okuni-jinja-goriyaku/,MERGE,/shrine/shrines/s4410001/,祭神・由緒はNo.11の中核で分離すると重複,公式表現と俗説を分ける章,神社公式由緒・祭神資料,L0,ready
15,phase1,True,guide,小國神社 初詣,/guide/okuni-jinja-hatsumode/,CREATE,/guide/okuni-jinja-hatsumode/,No.11では年始の交通・防寒・待機を十分扱えない,年度別発表を固定値化せず、到着・退出・代替交通を整理,神社の当年発表、交通事業者、臨時規制、現地下見,L0,ready
16,phase1,True,guide,小國神社 紅葉,/guide/okuni-jinja-autumn-leaves/,HOLD,/guide/okuni-jinja-autumn-leaves/,No.87と完全競合するため代表を一つにする,定点写真、見頃の幅、雨後の足元、混雑を実測,神社当年情報、現地定点撮影、交通案内,L0,blocked_on_fieldwork
17,phase3,False,guide,小國神社 新緑,/guide/okuni-jinja-fresh-green/,MERGE,/shrine/shrines/s4410001/,No.16の季節差し替え型になりやすい,新緑期の自然観察・参拝章として追加,神社公式、現地写真、植生確認,L0,ready
18,phase3,False,guide,小國神社 花菖蒲,/guide/okuni-jinja-iris/,MERGE,/nature/flowers-calendar/,No.78の花暦と検索意図が近い,花菖蒲の場所と雨天動線を花暦内で詳説,神社・観光協会の当年開花情報、現地写真,L0,ready
19,phase1,True,guide,小國ことまち横丁,/guide/kotomachi-yokocho/,HOLD,/guide/kotomachi-yokocho/,No.37・40・42・43と店舗・飲食が競合,テナント羅列でなく注文、座席、休憩、混雑の現況案内,施設公式、各店許諾・営業時間、現地取材・写真,L0,blocked_on_fieldwork
20,phase3,False,guide,森町 天宮神社,/guide/amenomiya-jinja/,EXPAND_EXISTING,/shrine/shrines/s4410002/,神社DBと舞楽ブログが存在,なぎの木、社殿、舞楽を現地観覧の順序で接続,神社・町文化財資料、現地掲示,L0,ready
21,phase3,False,guide,天宮神社 舞楽,/guide/amenomiya-bugaku/,EXPAND_EXISTING,/blog/20260711-three-bugaku/,三社舞楽記事と小國・天宮舞楽記事が既存,三社比較を保ち、天宮の演目・観覧心得を章拡張,文化庁・町、保存会または神社、当年開催発表,L0,ready
22,phase3,False,guide,森町 三島神社,/guide/mishima-jinja/,EXPAND_EXISTING,/shrine/shrines/s4410004/,個別神社DBが正規URL,氏子圏と森の祭りの関係を事実と解釈に分ける,神社・町史・祭典本部、現地掲示,L0,ready
